계정과목,20x1년,20x2년
,,
현금및현금성자산,"￦20,000","￦184,000"
매출채권,"185,000","271,000"
대손충당금,"9,200","15,000"
재고자산,"100,000","70,000"
토지,"300,000","238,000"
건물,"540,000","430,000"
감가상각누계액,"220,000","100,000"
매입채무,"130,000","55,000"
미지급이자,"35,000","34,000"
미지급법인세,"30,000","34,500"
유동성장기차입금,"60,000","20,000"
장기차입금,"140,000","120,000"
사채,-,"40,000"
사채할증발행차금,-,"4,000"
이연법인세부채,"8,000","11,000"
자본금,"100,000","100,000"
이익잉여금,"412,800","412,800"
매출액,-,"870,000"
매출원가,-,"505,000"
급여,-,"20,000"
대손상각비,-,"9,800"
감가상각비,-,"57,000"
이자수익,-,"3,000"
이자비용,-,"5,000"
유형자산처분이익,-,"33,000"
법인세비용,-,"62,500"
